City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Korem,ET,12.5058,39.5228,55.02,93,100,5.73,Rain
159,Iqaluit,CA,63.7506,-68.5145,58.73,44,90,12.66,Clouds
160,Castro,BR,-24.7911,-50.0119,42.93,97,100,5.14,Clouds
161,Funadhoo,MV,6.15,73.2667,81.86,77,43,9.93,Clouds
162,Adrar,MR,20.5022,-10.0711,81.99,59,95,16.4,Clouds
163,Carndonagh,IE,55.25,-7.2667,55.29,65,100,12.01,Clouds
164,Kudahuvadhoo,MV,2.6708,72.8944,82.04,71,36,3.76,Clouds
165,Boromo,BF,11.75,-2.9333,71.46,96,99,4.16,Clouds
166,Upernavik,GL,72.7868,-56.1549,43.57,76,100,4.92,Clouds
167,Butaritari,KI,3.0707,172.7902,82.38,72,15,8.61,Clouds
168,Pacifica,US,37.6138,-122.4869,72.57,85,20,1.01,Clouds
169,Ilulissat,GL,69.2167,-51.1,44.62,65,96,4.61,Clouds
170,Georgetown,MY,5.4112,100.3354,86.9,74,20,1.99,Clouds
171,Coihaique,CL,-45.5752,-72.0662,35.55,75,0,3.44,Clear
172,Springbok,ZA,-29.6643,17.8865,52.79,23,4,7.18,Clear
173,Evensk,RU,61.95,159.2333,53.38,67,97,5.32,Clouds
174,Sisimiut,GL,66.9395,-53.6735,51.62,69,85,5.19,Clouds
175,Dakar,SN,14.6937,-17.4441,80.73,78,75,6.91,Clouds
176,Mar Del Plata,AR,-38.0023,-57.5575,47.12,29,7,1.01,Mist
177,Hithadhoo,MV,-0.6,73.0833,81.52,72,62,5.66,Clouds
178,Bambanglipuro,ID,-7.95,110.2833,80.94,72,83,15.61,Clouds
179,Sao Filipe,CV,14.8961,-24.4956,74.97,87,74,11.05,Clouds
180,Asau,RO,46.4333,26.4,68.76,74,0,5.77,Clear
181,Belawan,ID,3.7755,98.6832,86.29,66,100,3.4,Clouds
182,Hilo,US,19.7297,-155.09,82.13,73,75,11.5,Clouds
183,Atar,MR,20.5169,-13.0499,84.36,50,80,8.23,Clouds
184,Lasa,IT,46.6166,10.7002,62.06,96,100,2.57,Rain
185,Bathsheba,BB,13.2167,-59.5167,81.21,83,20,14.97,Clouds
186,Ocean City,US,39.2776,-74.5746,71.01,78,100,3.0,Clouds
187,Manica,FR,49.0,-1.1667,51.21,98,80,4.7,Clouds
188,Gubkinskiy,RU,64.434,76.5026,60.98,56,97,6.96,Clouds
189,Kalmunai,LK,7.4167,81.8167,86.56,59,78,8.48,Clouds
190,Veraval,IN,20.9,70.3667,81.95,83,100,20.18,Clouds
191,Dinguiraye,GN,11.3,-10.7167,67.77,98,97,3.42,Rain
192,Geraldton,AU,-28.7667,114.6,64.81,59,90,25.32,Clouds
193,Saint Anthony,US,45.0205,-93.218,74.82,52,1,1.99,Haze
194,Barra Patuca,HN,15.8,-84.2833,80.8,85,100,10.98,Clouds
195,Longyearbyen,SJ,78.2186,15.6401,44.44,70,40,16.11,Clouds
196,Udachnyy,RU,66.4167,112.4,79.92,24,1,7.45,Clear
197,Ossora,RU,59.2353,163.0719,58.62,52,68,10.36,Clouds
198,Kasongo-Lunda,CD,-6.4667,16.8167,67.14,43,46,0.56,Clouds
199,Telde,ES,27.9924,-15.4192,71.04,73,40,26.46,Clouds
200,Altamira,BR,-3.2033,-52.2064,71.2,95,99,2.08,Clouds
