City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
601,Kiunga,PG,85.14,Clouds,-6.1219,141.2906,Airport Lodge Kiunga
602,Kyaikkami,MM,80.78,Clouds,16.08,97.5675,Happy Family Kyaikkami
605,Sao Raimundo Das Mangabeiras,BR,75.07,Clouds,-7.0219,-45.4811,Hotel Tropical
608,Varkkallai,IN,83.98,Clouds,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
612,Cayenne,GF,83.08,Clear,4.9333,-52.3333,Hôtel Le Dronmi
614,Sisophon,KH,88.95,Clouds,13.5859,102.9737,Pyramid Hotel
622,Seydi,TM,90.86,Clear,39.4816,62.9137,Seydi oteli
623,Haines Junction,CA,76.95,Clouds,60.7522,-137.5108,Parkside Inn
627,Portland,US,81.19,Clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
629,Fort Nelson,CA,85.59,Clear,58.8053,-122.7002,The Fort Nelson Hotel
631,Fare,PF,76.75,Clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
633,Rafraf,TN,79.11,Clouds,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
634,Charters Towers,AU,84.11,Clear,-20.1,146.2667,Cattleman's Rest Motor Inn
635,Mana,GF,77.72,Clouds,5.6592,-53.7767,LE SAMANA
636,Champerico,GT,82.35,Clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
638,Cesena,IT,80.42,Clear,44.1391,12.2432,Hotel Casali Home
643,Padang,ID,87.85,Clouds,-0.9492,100.3543,Mercure Padang
645,Sakakah,SA,81.97,Clear,29.9697,40.2064,Fakhamat Al Orjoana Apartment
647,Bagalkot,IN,77.05,Clouds,16.1833,75.7,hotel anugraha deluxe
649,Hillsboro,US,81.66,Clear,45.5229,-122.9898,Budget Inn-Hillsboro
650,Linxia,CN,83.5,Clear,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
651,Fukue,JP,86.36,Clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
653,Sibolga,ID,82.85,Clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
659,Katsuura,JP,91.51,Clear,35.1333,140.3,Katsuura Hotel Mikazuki
661,Arkadelphia,US,85.82,Clear,34.1209,-93.0538,COLLEGE INN MOTEL
662,Sorong,ID,86.86,Clouds,-0.8833,131.25,waigo splash hotel
666,Tezu,IN,80.47,Clouds,27.9167,96.1667,Circuit House
667,Tukrah,LY,78.04,Clear,32.5341,20.5791,Lokta restaurant
668,Rapid Valley,US,75.4,Smoke,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
678,Neiafu,TO,77.68,Rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
681,Hanna,CA,81.91,Clear,51.6334,-111.9018,"West View Motel, Hanna, AB"
